512;512
0.0;126.0;0;120
126.0;94.0;1;133
94.0;70.0;2;55
70.0;118.0;3;85
118.0;156.0;4;151
156.0;127.0;5;162
127.0;95.0;6;93
95.0;132.0;7;98
132.0;167.0;8;166
167.0;135.0;9;169
135.0;102.0;10;101
102.0;137.0;11;103
137.0;173.0;12;172
173.0;139.0;13;174
139.0;105.0;14;104
105.0;140.0;15;106
140.0;176.0;16;175
176.0;141.0;17;177
141.0;106.0;18;105
106.0;142.0;19;107
142.0;179.0;20;178
179.0;90.0;21;180
90.0;54.0;22;0
54.0;144.0;23;109
144.0;180.0;24;179
180.0;91.0;25;182
91.0;0.0;26;0
0.0;90.0;27;0
90.0;182.0;28;181
182.0;146.0;29;184
146.0;110.0;30;108
110.0;255.0;31;113
